ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2012-08-31,yeguas,cordoba,175.1,527.2,228.7,99.87,-0.03,-0.27,-71.51,43.67,43.79,74.94,
2012-08-31,canales,granada,199.3,412.9,70.0,22.89,-0.26,-1.81,-29.36,32.7,35.29,74.64,
2012-08-31,colomera,granada,228.7,541.4,40.2,29.09,-0.12,-0.84,-8.2,72.37,74.45,92.76,
2012-08-31,cubillas,granada,196.7,382.3,18.7,4.34,-0.05,-0.21,-7.27,23.21,24.33,62.09,
2012-08-31,el portillo,granada,145.3,488.1,32.9,27.85,-0.03,-0.22,-1.07,84.66,85.32,87.9,
2012-08-31,francisco abellan,granada,147.6,339.5,58.2,30.64,-0.1,-0.67,-6.73,52.65,53.8,64.21,
2012-08-31,los bermejales,granada,184.5,608.3,102.6,71.58,-0.18,-1.21,-10.94,69.77,70.95,80.43,
2012-08-31,negratin,granada,125.5,414.3,567.1,338.42,-0.49,-3.3,-21.31,59.67,60.26,63.43,
2012-08-31,quentar,granada,216.0,416.0,13.5,12.07,0.0,0.03,1.14,89.44,89.19,80.96,
2012-08-31,san clemente,granada,152.5,416.1,117.9,18.57,-0.06,-0.43,-13.99,15.75,16.12,27.62,
2012-08-31,aracena,huelva,270.1,784.3,126.8,86.82,-0.37,-2.89,-36.53,68.47,70.75,97.28,
2012-08-31,zufre,huelva,206.0,721.5,175.3,136.6,0.0,0.0,-30.12,77.92,77.92,95.11,
2012-08-31,aguascebas,jaen,253.4,664.3,6.4,3.49,-0.01,-0.04,-0.83,54.58,55.16,67.5,
2012-08-31,dannador,jaen,190.9,602.0,4.1,1.32,0.0,-0.02,-2.14,32.11,32.68,84.39,
2012-08-31,giribaile,jaen,138.2,471.7,475.1,179.61,-1.46,-8.47,-217.68,37.81,39.59,83.62,
2012-08-31,guadalen,jaen,155.8,487.3,168.0,77.74,-0.48,-3.52,-54.39,46.27,48.37,78.65,
2012-08-31,guadalmena,jaen,162.6,599.0,346.5,239.15,-0.45,-4.56,-50.79,69.02,70.33,83.68,
2012-08-31,jandula,jaen,134.8,470.2,322.0,148.75,-0.02,-0.61,-98.6,46.19,46.39,76.82,
