ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2023-12-15,quentar,granada,134.2,142.3,13.5,6.59,0.01,0.1,-2.51,48.81,48.07,67.41,8.12
2023-12-15,rules,granada,46.1,184.4,110.8,36.37,-0.03,-0.23,-28.24,32.82,33.03,58.31,78.26
2023-12-15,san clemente,granada,58.6,126.0,117.9,9.59,0.01,0.09,-3.04,8.13,8.06,10.71,16.0
2023-12-15,andevalo,huelva,205.5,277.0,634.4,161.06,0.03,0.23,-61.48,25.39,25.35,35.08,340.92
2023-12-15,aracena,huelva,272.1,293.7,126.8,31.25,-0.01,0.2,-0.59,24.65,24.49,25.11,53.57
2023-12-15,chanza,huelva,172.5,212.4,341.4,143.95,0.05,0.03,-55.11,42.16,42.16,58.31,167.45
2023-12-15,corumbel bajo,huelva,321.4,247.8,18.0,4.16,0.01,0.04,-1.79,23.11,22.89,33.06,5.41
2023-12-15,jarrama,huelva,442.1,311.5,42.6,21.73,0.04,0.27,-5.85,51.01,50.38,64.74,28.55
2023-12-15,los machos,huelva,216.5,238.0,12.0,9.37,0.01,0.01,-2.63,78.08,78.0,100.0,9.43
2023-12-15,piedras,huelva,216.5,234.8,59.5,21.52,-0.17,-1.26,-37.98,36.17,38.29,100.0,44.39
2023-12-15,zufre,huelva,257.7,282.4,175.3,25.12,0.01,0.2,-8.85,14.33,14.22,19.38,86.6
2023-12-15,aguascebas,jaen,242.7,199.5,6.4,3.49,0.0,0.01,-1.09,54.53,54.38,71.56,4.32
2023-12-15,dannador,jaen,151.0,193.9,4.1,3.16,-0.01,-0.03,-1.01,77.07,77.8,101.71,3.1
2023-12-15,giribaile,jaen,122.5,152.7,475.1,79.83,0.06,0.41,5.71,16.8,16.72,15.6,113.58
2023-12-15,guadalen,jaen,125.9,162.7,168.0,25.53,-0.05,-0.1,-10.42,15.2,15.26,21.4,43.28
2023-12-15,guadalmena,jaen,159.6,190.9,346.5,58.21,-0.05,-0.28,-5.41,16.8,16.88,18.36,108.3
2023-12-15,jandula,jaen,165.1,167.5,322.0,62.75,0.06,0.37,3.66,19.49,19.37,18.35,91.25
2023-12-15,la bolera,jaen,71.1,193.9,53.2,11.11,0.04,0.44,-3.61,20.88,20.06,27.67,21.2
2023-12-15,la fernandina,jaen,154.6,182.3,244.5,69.57,-0.03,-0.07,-11.64,28.45,28.48,33.21,86.53
2023-12-15,quiebrajano,jaen,194.0,221.6,31.6,5.77,-0.01,-0.06,-2.45,18.26,18.45,26.01,13.05
2023-12-15,rumblar,jaen,134.1,167.1,126.0,23.35,0.0,-0.03,-9.2,18.53,18.56,25.83,46.74
2023-12-15,tranco de beas,jaen,159.8,234.4,498.2,120.32,0.18,1.19,4.29,24.15,23.91,23.29,188.13
2023-12-15,vadomojon,jaen,91.1,165.6,163.2,11.31,0.02,0.21,-0.91,6.93,6.8,7.49,48.17
2023-12-15,viboras,jaen,117.3,173.4,19.1,3.86,0.0,0.05,-1.53,20.21,19.95,28.22,7.85
2023-12-15,casasola,malaga,33.0,184.5,21.7,6.36,-0.01,-0.04,-4.32,29.31,29.49,49.22,11.02
2023-12-15,conde de guadalhorce,malaga,0.2,178.8,66.5,11.23,0.01,0.05,-6.87,16.89,16.81,27.22,33.34
2023-12-15,el limonero,malaga,30.9,190.9,22.3,4.95,-0.01,-0.07,-4.09,22.2,22.51,40.54,11.11
2023-12-15,guadalhorce,malaga,47.6,174.9,125.7,20.24,-0.14,-0.64,-22.97,16.1,16.61,34.38,70.2
2023-12-15,guadalteba,malaga,47.6,175.2,153.3,36.37,-0.25,-0.8,-48.55,23.72,24.25,55.39,108.1
2023-12-15,la concepcion,malaga,42.5,307.7,61.9,13.97,-0.05,-0.31,-20.03,22.57,23.07,54.93,34.65
2023-12-15,la vinnuela,malaga,48.8,234.3,165.4,12.47,-0.01,0.02,-4.29,7.54,7.53,10.13,42.63
2023-12-15,cala,sevilla,208.0,276.4,58.8,28.74,-0.03,0.05,0.8,48.88,48.79,47.52,19.67
2023-12-15,el agrio,sevilla,197.4,247.8,20.3,10.01,0.0,0.14,-4.16,49.31,48.62,69.8,10.64
2023-12-15,el pintado,sevilla,230.8,265.3,212.8,42.21,0.03,0.39,-13.23,19.84,19.65,26.05,111.45
2023-12-15,gergal,sevilla,179.3,225.1,35.0,18.04,0.19,0.31,-4.41,51.54,50.66,64.14,27.01
2023-12-15,huesna,sevilla,228.3,242.4,134.6,45.17,-0.05,-0.18,-15.01,33.56,33.69,44.71,75.48
2023-12-15,jose toran,sevilla,216.6,262.8,113.2,17.13,0.0,0.05,-1.22,15.13,15.09,16.21,33.28
2023-12-15,la minilla,sevilla,236.6,268.8,57.8,30.61,-0.02,-0.04,-14.1,52.96,53.03,77.35,44.03
2023-12-15,melonares,sevilla,194.9,247.0,185.6,82.12,-0.18,-1.13,-38.79,44.25,44.85,65.15,145.19
2023-12-15,puebla de cazalla,sevilla,122.8,188.0,73.7,0.1,0.0,-0.01,-2.72,0.14,0.15,3.83,17.71
2023-12-15,torre del aguila,sevilla,123.6,202.3,64.4,1.81,-0.01,-0.1,-6.23,2.81,2.97,12.48,12.31
2023-12-16,beninar,almeria,33.8,186.0,61.68,4.9,-0.01,-0.03,-3.9,7.94,7.99,14.27,7.89
2023-12-16,cuevas de almanzora,almeria,6.4,92.9,161.3,17.28,-0.08,-0.44,-9.62,10.71,10.99,16.68,17.76
2023-12-16,almodovar,cadiz,138.6,462.6,5.7,2.25,0.0,-0.03,-1.87,39.47,40.0,72.28,2.7
2023-12-16,arcos,cadiz,136.2,233.3,14.6,12.09,-0.03,-0.08,-1.49,82.81,83.36,93.01,13.27
2023-12-16,barbate,cadiz,107.2,383.5,228.1,20.66,0.0,0.0,-21.56,9.06,9.06,18.51,72.48
2023-12-16,bornos,cadiz,130.8,231.7,200.2,19.18,0.0,0.22,-32.34,9.58,9.47,25.73,59.37
2023-12-16,celemin,cadiz,109.4,373.7,44.8,3.96,0.0,0.0,-5.92,8.84,8.84,22.05,14.37
2023-12-16,charco redondo,cadiz,173.5,415.5,81.6,13.84,0.01,0.0,-15.65,16.96,16.96,36.14,31.31
2023-12-16,guadalcacin,cadiz,102.9,350.2,800.3,136.01,-0.11,-0.89,-76.5,16.99,17.11,26.55,336.26
2023-12-16,guadarranque,cadiz,152.5,357.5,87.7,25.67,-0.03,-0.45,-14.74,29.27,29.78,46.08,40.26
2023-12-16,los hurones,cadiz,132.9,327.9,135.3,40.69,-0.04,0.0,-32.32,30.07,30.07,53.96,70.85
2023-12-16,zahara - el gastor,cadiz,121.9,287.8,222.7,8.59,0.02,0.14,-33.52,3.86,3.79,18.91,102.31
2023-12-16,arenoso,cordoba,129.4,206.0,167.0,24.57,-0.01,0.12,-6.41,14.71,14.64,18.55,39.44
2023-12-16,bembezar,cordoba,185.5,244.3,342.1,36.78,0.03,0.38,-16.44,10.75,10.64,15.56,128.4
2023-12-16,guadalmellato,cordoba,184.7,226.1,146.6,40.73,-0.05,-0.17,-19.9,27.78,27.9,41.36,77.68
2023-12-16,guadanunno,cordoba,217.7,265.6,1.6,1.0,0.0,0.0,-0.48,62.5,62.5,92.5,1.15
2023-12-16,iznajar,cordoba,117.2,215.3,981.1,154.25,0.27,1.96,18.63,15.72,15.52,13.82,301.72
2023-12-16,la brenna,cordoba,180.4,225.4,823.0,91.69,-0.05,0.0,-10.44,11.14,11.14,12.41,156.36
2023-12-16,martin gonzalo,cordoba,227.7,221.6,17.8,2.13,-0.01,-0.03,-2.44,11.97,12.13,25.67,8.48
2023-12-16,puente nuevo,cordoba,162.5,230.3,281.7,31.95,0.0,0.06,-9.17,11.34,11.32,14.6,73.46
2023-12-16,retortillo,cordoba,179.7,261.4,61.2,7.59,-0.01,-0.05,-5.99,12.4,12.48,22.19,25.89
2023-12-16,san rafael de navallana,cordoba,205.8,208.0,156.5,62.71,-0.02,0.01,10.76,40.07,40.06,33.19,51.69
2023-12-16,sierra boyera,cordoba,184.0,194.6,40.9,1.1,0.01,0.17,-0.71,2.69,2.27,4.43,15.41
2023-12-16,yeguas,cordoba,170.1,198.7,228.7,37.55,0.03,0.39,-18.36,16.42,16.25,24.45,62.59
2023-12-16,beznar,granada,58.0,161.7,52.9,25.06,-0.03,-0.18,-11.15,47.37,47.71,68.45,39.06
2023-12-16,canales,granada,101.1,142.6,70.0,33.16,-0.03,0.02,-15.62,47.37,47.34,69.69,48.89
2023-12-16,colomera,granada,101.5,186.6,40.2,3.97,0.0,0.01,0.24,9.88,9.85,9.28,12.89
2023-12-16,cubillas,granada,76.5,135.3,18.7,5.57,0.01,0.06,-0.18,29.79,29.47,30.75,6.99
2023-12-16,el portillo,granada,46.8,148.6,32.9,10.73,0.02,0.27,-8.63,32.61,31.79,58.84,24.14
2023-12-16,francisco abellan,granada,48.7,102.4,58.2,7.89,0.01,0.07,-1.99,13.56,13.44,16.98,20.47
2023-12-16,los bermejales,granada,80.7,218.1,102.6,13.05,0.02,0.09,-0.47,12.72,12.63,13.18,38.31
2023-12-16,negratin,granada,51.3,124.7,567.1,116.58,0.1,0.96,8.25,20.56,20.39,19.1,185.35
2023-12-16,quentar,granada,134.2,142.3,13.5,6.6,0.01,0.09,-2.69,48.89,48.22,68.81,8.12
2023-12-16,rules,granada,46.1,184.4,110.8,36.33,-0.04,-0.26,-29.72,32.79,33.02,59.61,78.26
2023-12-16,san clemente,granada,58.6,126.0,117.9,9.6,0.01,0.08,-3.26,8.14,8.07,10.91,16.0
2023-12-16,andevalo,huelva,205.5,277.0,634.4,161.07,0.01,0.2,-63.66,25.39,25.36,35.42,340.92
2023-12-16,aracena,huelva,272.1,293.7,126.8,31.25,0.0,0.13,-1.22,24.65,24.54,25.61,53.57
